Unnamed: 0,household_id,state_code_str,zip_code,county_str,rating_area
130,613,ME,04007,YORK_COUNTY_ME,
269,439,ME,04007,YORK_COUNTY_ME,
557,1546,NH,03298,BELKNAP_COUNTY_NH,
573,1576,NH,03247,BELKNAP_COUNTY_NH,
738,1092,NH,03247,BELKNAP_COUNTY_NH,
940,1738,NH,03815,STRAFFORD_COUNTY_NH,
982,1803,NH,03247,BELKNAP_COUNTY_NH,
1064,1985,VT,05302,WINDHAM_COUNTY_VT,
1083,2033,VT,05303,WINDHAM_COUNTY_VT,
1148,2179,VT,05303,WINDHAM_COUNTY_VT,
1168,2242,VT,05303,WINDHAM_COUNTY_VT,
1193,2305,VT,05303,WINDHAM_COUNTY_VT,
1282,2540,VT,05304,WINDHAM_COUNTY_VT,
1416,3005,VT,05303,WINDHAM_COUNTY_VT,
1472,3116,VT,05303,WINDHAM_COUNTY_VT,
1638,2647,VT,05302,WINDHAM_COUNTY_VT,
1649,2671,VT,05304,WINDHAM_COUNTY_VT,
1650,2673,VT,05303,WINDHAM_COUNTY_VT,
1782,3246,MA,02454,MIDDLESEX_COUNTY_MA,
1783,3271,MA,01069,HAMPDEN_COUNTY_MA,
1784,3289,MA,02238,MIDDLESEX_COUNTY_MA,
1785,3299,MA,02131,SUFFOLK_COUNTY_MA,
1786,3548,MA,02151,SUFFOLK_COUNTY_MA,
1787,3782,MA,01826,ESSEX_COUNTY_MA,
1788,4437,MA,01081,HAMPDEN_COUNTY_MA,
1789,4439,MA,01247,BERKSHIRE_COUNTY_MA,
1792,4453,MA,01720,MIDDLESEX_COUNTY_MA,
1793,4460,MA,01468,WORCESTER_COUNTY_MA,
1794,4462,MA,01813,MIDDLESEX_COUNTY_MA,
1795,4466,MA,01545,WORCESTER_COUNTY_MA,
1796,4473,MA,02148,MIDDLESEX_COUNTY_MA,
1797,4477,MA,02129,SUFFOLK_COUNTY_MA,
1799,4679,MA,01850,MIDDLESEX_COUNTY_MA,
1800,4681,MA,01907,ESSEX_COUNTY_MA,
1802,4733,MA,01770,MIDDLESEX_COUNTY_MA,
1803,4735,MA,02126,SUFFOLK_COUNTY_MA,
1805,4748,MA,01832,ESSEX_COUNTY_MA,
1806,3251,MA,01566,WORCESTER_COUNTY_MA,
1807,3260,MA,01027,HAMPSHIRE_COUNTY_MA,
1808,3261,MA,01040,HAMPDEN_COUNTY_MA,
1809,3263,MA,01440,WORCESTER_COUNTY_MA,
1810,3269,MA,02238,MIDDLESEX_COUNTY_MA,
1811,3278,MA,02148,MIDDLESEX_COUNTY_MA,
1814,3281,MA,01851,MIDDLESEX_COUNTY_MA,
1815,3282,MA,01784,MIDDLESEX_COUNTY_MA,
1816,3283,MA,02222,SUFFOLK_COUNTY_MA,
1819,3303,MA,01803,MIDDLESEX_COUNTY_MA,
1821,3306,MA,01516,WORCESTER_COUNTY_MA,
1823,3625,MA,01888,MIDDLESEX_COUNTY_MA,
1824,4433,MA,01904,ESSEX_COUNTY_MA,
1825,4448,MA,01571,WORCESTER_COUNTY_MA,
1827,4479,MA,01432,MIDDLESEX_COUNTY_MA,
1828,4689,MA,01907,ESSEX_COUNTY_MA,
1829,4739,MA,01420,WORCESTER_COUNTY_MA,
1830,4750,MA,01062,HAMPSHIRE_COUNTY_MA,
1832,3258,MA,01853,MIDDLESEX_COUNTY_MA,
1835,3309,MA,01775,MIDDLESEX_COUNTY_MA,
1838,3313,MA,01840,ESSEX_COUNTY_MA,
1839,3314,MA,02129,SUFFOLK_COUNTY_MA,
1840,3315,MA,01887,MIDDLESEX_COUNTY_MA,
1841,3317,MA,02126,SUFFOLK_COUNTY_MA,
1842,3319,MA,01602,WORCESTER_COUNTY_MA,
1843,3320,MA,01220,BERKSHIRE_COUNTY_MA,
