,household_id,state_code_str,zip_code,county_str
0,6,ME,04864,KNOX_COUNTY_ME
1,7,ME,04769,AROOSTOOK_COUNTY_ME
2,9,ME,04004,YORK_COUNTY_ME
3,10,ME,04579,SAGADAHOC_COUNTY_ME
4,16,ME,04408,HANCOCK_COUNTY_ME
5,17,ME,04468,PENOBSCOT_COUNTY_ME
6,18,ME,04103,CUMBERLAND_COUNTY_ME
7,21,ME,04005,YORK_COUNTY_ME
8,22,ME,04027,YORK_COUNTY_ME
9,25,ME,04270,OXFORD_COUNTY_ME
10,26,ME,04556,LINCOLN_COUNTY_ME
11,30,ME,04084,CUMBERLAND_COUNTY_ME
12,31,ME,04046,YORK_COUNTY_ME
13,32,ME,04102,CUMBERLAND_COUNTY_ME
14,34,ME,04070,CUMBERLAND_COUNTY_ME
15,38,ME,04455,PENOBSCOT_COUNTY_ME
16,39,ME,04402,PENOBSCOT_COUNTY_ME
17,42,ME,04928,PENOBSCOT_COUNTY_ME
18,43,ME,04107,CUMBERLAND_COUNTY_ME
19,44,ME,04240,ANDROSCOGGIN_COUNTY_ME
20,56,ME,04496,WALDO_COUNTY_ME
21,65,ME,04096,CUMBERLAND_COUNTY_ME
22,68,ME,04401,PENOBSCOT_COUNTY_ME
23,69,ME,04613,HANCOCK_COUNTY_ME
24,71,ME,04103,CUMBERLAND_COUNTY_ME
25,85,ME,04072,YORK_COUNTY_ME
26,87,ME,03906,YORK_COUNTY_ME
27,91,ME,03909,YORK_COUNTY_ME
28,92,ME,04039,CUMBERLAND_COUNTY_ME
29,94,ME,04579,SAGADAHOC_COUNTY_ME
30,95,ME,04457,PENOBSCOT_COUNTY_ME
31,97,ME,04841,KNOX_COUNTY_ME
32,103,ME,04481,PISCATAQUIS_COUNTY_ME
33,105,ME,04108,CUMBERLAND_COUNTY_ME
34,106,ME,04098,CUMBERLAND_COUNTY_ME
35,112,ME,04579,SAGADAHOC_COUNTY_ME
36,121,ME,04738,AROOSTOOK_COUNTY_ME
37,123,ME,04416,HANCOCK_COUNTY_ME
38,124,ME,04101,CUMBERLAND_COUNTY_ME
39,125,ME,04282,ANDROSCOGGIN_COUNTY_ME
40,126,ME,04061,YORK_COUNTY_ME
41,132,ME,04402,PENOBSCOT_COUNTY_ME
42,133,ME,04219,OXFORD_COUNTY_ME
43,136,ME,04230,ANDROSCOGGIN_COUNTY_ME
44,137,ME,04072,YORK_COUNTY_ME
45,140,ME,04903,KENNEBEC_COUNTY_ME
46,150,ME,04039,CUMBERLAND_COUNTY_ME
47,151,ME,04240,ANDROSCOGGIN_COUNTY_ME
48,156,ME,04038,CUMBERLAND_COUNTY_ME
49,160,ME,04002,YORK_COUNTY_ME
50,174,ME,04938,FRANKLIN_COUNTY_ME
51,175,ME,04116,CUMBERLAND_COUNTY_ME
52,179,ME,04953,PENOBSCOT_COUNTY_ME
53,181,ME,04330,KENNEBEC_COUNTY_ME
54,182,ME,04097,CUMBERLAND_COUNTY_ME
55,186,ME,04965,SOMERSET_COUNTY_ME
56,187,ME,04862,KNOX_COUNTY_ME
57,188,ME,04104,CUMBERLAND_COUNTY_ME
58,192,ME,04402,PENOBSCOT_COUNTY_ME
59,194,ME,04212,ANDROSCOGGIN_COUNTY_ME
60,196,ME,04401,PENOBSCOT_COUNTY_ME
61,197,ME,04073,YORK_COUNTY_ME
62,198,ME,04021,CUMBERLAND_COUNTY_ME
63,203,ME,04841,KNOX_COUNTY_ME
64,204,ME,04224,OXFORD_COUNTY_ME
65,206,ME,04574,KNOX_COUNTY_ME
66,207,ME,04048,YORK_COUNTY_ME
67,222,ME,04096,CUMBERLAND_COUNTY_ME
68,225,ME,04090,YORK_COUNTY_ME
69,230,ME,04605,HANCOCK_COUNTY_ME
70,249,ME,04027,YORK_COUNTY_ME
71,251,ME,03908,YORK_COUNTY_ME
72,256,ME,04082,CUMBERLAND_COUNTY_ME
73,260,ME,04116,CUMBERLAND_COUNTY_ME
74,261,ME,04238,OXFORD_COUNTY_ME
75,262,ME,04411,PENOBSCOT_COUNTY_ME
76,268,ME,04402,PENOBSCOT_COUNTY_ME
77,275,ME,04667,WASHINGTON_COUNTY_ME
78,276,ME,04038,CUMBERLAND_COUNTY_ME
79,277,ME,04054,YORK_COUNTY_ME
80,278,ME,04841,KNOX_COUNTY_ME
81,279,ME,04538,LINCOLN_COUNTY_ME
82,284,ME,04241,ANDROSCOGGIN_COUNTY_ME
83,285,ME,04107,CUMBERLAND_COUNTY_ME
84,286,ME,04049,YORK_COUNTY_ME
85,288,ME,04072,YORK_COUNTY_ME
86,291,ME,04085,CUMBERLAND_COUNTY_ME
