STATE,AREA,COUNTY_ZIP3
FL,6,Broward
FL,7,Calhoun
FL,8,Charlotte
FL,9,Citrus
FL,10,Clay
FL,11,Collier
FL,12,Columbia
FL,13,Desoto
FL,14,Dixie
FL,15,Duval
FL,16,Escambia
FL,17,Flagler
FL,18,Franklin
FL,19,Gadsden
FL,20,Gilchrist
FL,21,Glades
FL,22,Gulf
FL,23,Hamilton
FL,24,Hardee
FL,25,Hendry
FL,26,Hernando
FL,27,Highlands
FL,28,Hillsborough
FL,29,Holmes
FL,30,Indian River
FL,31,Jackson
FL,32,Jefferson
FL,33,Lafayette
FL,34,Lake
FL,35,Lee
FL,36,Leon
FL,37,Levy
FL,38,Liberty
FL,39,Madison
FL,40,Manatee
FL,41,Marion
FL,42,Martin
FL,43,Miami-Dade
FL,44,Monroe
FL,45,Nassau
FL,46,Okaloosa
FL,47,Okeechobee
FL,48,Orange
FL,49,Osceola
FL,50,Palm Beach
FL,51,Pasco
FL,52,Pinellas
FL,53,Polk
FL,54,Putnam
FL,55,Santa Rosa
FL,56,Sarasota
FL,57,Seminole
FL,58,St. Johns
FL,59,St. Lucie
FL,60,Sumter
FL,61,Suwannee
FL,62,Taylor
FL,63,Union
FL,64,Volusia
FL,65,Wakulla
FL,66,Walton
FL,67,Washington
GA,1,Baker
GA,1,Calhoun
GA,1,Clay
GA,1,Crisp
GA,1,Dougherty
GA,1,Lee
GA,1,Mitchell
GA,1,Randolph
GA,1,Schley
GA,1,Sumter
GA,1,Terrell
GA,1,Worth
GA,2,Barrow
GA,2,Clarke
GA,2,Elbert
GA,2,Greene
GA,2,Jackson
GA,2,Madison
GA,2,Morgan
GA,2,Oconee
GA,2,Oglethorpe
GA,3,Bartow
GA,3,Butts
GA,3,Cherokee
GA,3,Clayton
GA,3,Cobb
GA,3,Coweta
GA,3,DeKalb
GA,3,Douglas
GA,3,Fayette
GA,3,Forsyth
GA,3,Fulton
GA,3,Gwinnett
GA,3,Henry
GA,3,Jasper
GA,3,Lamar
GA,3,Newton
GA,3,Paulding
GA,3,Pike
GA,3,Rockdale
GA,3,Spalding
GA,3,Walton
GA,4,Carroll
GA,4,Heralson
GA,4,Heard
GA,5,Burke
GA,5,Columbia
GA,5,Emanuel
GA,5,Glascock
GA,5,Jefferson
GA,5,Jenkins
GA,5,Lincoln
GA,5,McDuffie
GA,5,Richmond
GA,5,Taliaferro
GA,5,Warren
GA,5,Wilkes
GA,6,Bacon
GA,6,Brantley
GA,6,Camden
GA,6,Charlton
GA,6,Glynn
GA,6,McIntosh
GA,6,Pierce
GA,6,Ware
GA,6,Wayne
GA,7,Catoosa
GA,7,Dade
GA,7,Walker
GA,8,Chattahoochee
GA,8,Harris
GA,8,Macon
GA,8,Marion
GA,8,Meriwether
GA,8,Muscogee
GA,8,Quitman
GA,8,Stewart
GA,8,Talbot
GA,8,Taylor
GA,8,Troup
GA,8,Upson
GA,8,Webster
GA,9,Fannin
GA,9,Murray
GA,9,Whitfield
GA,10,Banks
GA,10,Dawson
GA,10,Franklin
GA,10,Habersham
GA,10,Hall
GA,10,Hart
GA,10,Lumpkin
GA,10,Rabun
GA,10,Stephens
GA,10,Towns
GA,10,Union
GA,10,White
GA,11,Atkinson
GA,11,Coffee
GA,11,Jeff Davis
GA,11,Johnson
GA,11,Laurens
GA,11,Montgomery
GA,11,Telfair
GA,11,Toombs
GA,11,Treutlen
GA,11,Wheeler
GA,12,Bibb
GA,12,Bleckley
GA,12,Crawford
GA,12,Dodge
GA,12,Dooly
GA,12,Houston
GA,12,Jones
GA,12,Monroe
GA,12,Peach
GA,12,Pulaski
GA,12,Putnam
GA,12,Twiggs
GA,12,Wilcox
GA,13,Chattooga
GA,13,Floyd
GA,13,Gilmer
GA,13,Gordon
GA,13,Pickens
GA,13,Polk
GA,14,Appling
GA,14,Bryan
GA,14,Bulloch
GA,14,Candler
GA,14,Chatham
GA,14,Effingham
GA,14,Evans
GA,14,Liberty
GA,14,Long
GA,14,Screven
GA,14,Tattnall
GA,15,Ben Hill
GA,15,Berrien
GA,15,Brooks
GA,15,Clinch
GA,15,Colquitt
GA,15,Cook
GA,15,Decatur
GA,15,Early
GA,15,Echols
GA,15,Grady
GA,15,Irwin
GA,15,Lanier
GA,15,Lowndes
GA,15,Miller
GA,15,Seminole
GA,15,Thomas
GA,15,Tift
GA,15,Turner
GA,16,Baldwin
GA,16,Hancock
GA,16,Washington
GA,16,Wilkinson
HI,1,Honolulu
HI,1,Hawaii
HI,1,Maui
HI,1,Kalawao
HI,1,Kauai
IA,1,Boone
IA,1,Calhoun
IA,1,Carroll
IA,1,Greene
IA,1,Grundy
IA,1,Hamilton
IA,1,Hardin
IA,1,Marshall
IA,1,Poweshiek
IA,1,Story
IA,1,Tama
IA,1,Webster
IA,2,Dallas
IA,2,Jasper
IA,2,Madison
IA,2,Marion
IA,2,Polk
IA,2,Warren
IA,3,Buena Vista
IA,3,Cherokee
IA,3,Clay
IA,3,Crawford
IA,3,Dickinson
IA,3,Ida
IA,3,Lyon
IA,3,Monona
IA,3,O'Brien
IA,3,Osceola
IA,3,Palo Alto
IA,3,Plymouth
IA,3,Pocahontas
IA,3,Sac
IA,3,Sioux
IA,3,Woodbury
IA,4,Adair
IA,4,Adams
IA,4,Audubon
IA,4,Cass
IA,4,Clarke
IA,4,Decatur
IA,4,Fremont
IA,4,Guthrie
IA,4,Harrison
IA,4,Mills
IA,4,Montgomery
IA,4,Page
IA,4,Pottawattamie
IA,4,Ringgold
IA,4,Shelby
IA,4,Taylor
IA,4,Union
IA,5,Appanoose
IA,5,Davis
IA,5,Des Moines
IA,5,Henry
IA,5,Jefferson
IA,5,Keokuk
IA,5,Lee
IA,5,Louisa
IA,5,Lucas
IA,5,Mahaska
IA,5,Monroe
IA,5,Muscatine
IA,5,Van Buren
IA,5,Wapello
IA,5,Washington
IA,5,Wayne
IA,6,Benton
IA,6,Black Hawk
IA,6,Buchanan
IA,6,Cedar
IA,6,Clayton
IA,6,Clinton
IA,6,Delaware
IA,6,Dubuque
IA,6,Iowa
IA,6,Jackson
IA,6,Johnson
IA,6,Jones
IA,6,Linn
IA,6,Scott
IA,7,Allamakee
IA,7,Bremer
IA,7,Butler
IA,7,Cerro Gordo
IA,7,Chickasaw
IA,7,Emmet
IA,7,Fayette
IA,7,Floyd
IA,7,Franklin
IA,7,Hancock
IA,7,Howard
IA,7,Humboldt
IA,7,Kossuth
IA,7,Mitchell
IA,7,Winnebago
IA,7,Winneshiek
IA,7,Worth
IA,7,Wright
ID,1,832
ID,2,833
ID,3,834
ID,4,835
ID,5,836
ID,6,837
ID,7,838
IL,1,Cook
IL,2,Lake
IL,2,McHenry
IL,3,Dupage
IL,3,Kane
IL,4,Grundy
IL,4,Kankakee
IL,4,Kendall
IL,4,Will
IL,5,Boone
IL,5,Carroll
IL,5,DeKalb
IL,5,Jo Daviess
IL,5,Lee
IL,5,Ogle
IL,5,Stephenson
IL,5,Winnebago
IL,6,Bureau
IL,6,Hancock
IL,6,Henderson
IL,6,Henry
IL,6,Mercer
IL,6,Rock Island
IL,6,Warren
IL,6,Whiteside
IL,7,Knox
IL,7,LaSalle
IL,7,Marshall
IL,7,McDonough
IL,7,Peoria
IL,7,Putnam
IL,7,Stark
IL,7,Tazewell
IL,7,Woodford
IL,7,Fulton
IL,8,McLean
IL,8,Livingston
IL,8,DeWitt
IL,9,Champaign
IL,9,Coles
IL,9,Douglas
IL,9,Edgar
IL,9,Piatt
IL,9,Ford
IL,9,Iroquois
IL,9,Vermillion
IL,9,Clark
IL,9,Cumberland
IL,10,Adams
IL,10,Brown
IL,10,Cass
IL,10,Christian
IL,10,Logan
IL,10,Macon
IL,10,Mason
IL,10,Menard
IL,10,Morgan
IL,10,Moultrie
IL,10,Pike
IL,10,Sangamon
IL,10,Schuyler
IL,10,Scott
IL,10,Shelby
IL,11,Bond
IL,11,Calhoun
IL,11,Clinton
IL,11,Greene
IL,11,Jersey
IL,11,Macoupin
IL,11,Montgomery
IL,11,Randolph
IL,11,Washington
IL,12,Madison
IL,12,Monroe
IL,12,St. Clair
IL,13,Alexander
IL,13,Clay
IL,13,Crawford
IL,13,Edwards
IL,13,Effingham
IL,13,Fayette
IL,13,Franklin
IL,13,Gallatin
IL,13,Hamilton
IL,13,Hardin
IL,13,Jackson
IL,13,Jasper
IL,13,Jefferson
IL,13,Johnson
IL,13,Lawrence
IL,13,Marion
IL,13,Massac
IL,13,Perry
IL,13,Pope
IL,13,Pulaski
IL,13,Richland
IL,13,Saline
IL,13,Union
IL,13,Wabash
IL,13,Wayne
IL,13,White
IL,13,Williamson
IN,1,Lake
IN,1,LaPorte
IN,1,Porter
IN,2,Elkhart
IN,2,Kosclusko
IN,2,Marshall
IN,2,St. Joseph
IN,2,Starke
IN,3,Adams
IN,3,DeKalb
IN,3,Huntington
IN,3,LaGrange
IN,3,Noble
IN,3,Steuben
IN,3,Wabash
IN,3,Wells
IN,3,Whitley
IN,4,Allen
IN,5,Benton
IN,5,Jasper
IN,5,Newton
IN,5,Warren
IN,5,White
IN,6,Cass
IN,6,Fulton
IN,6,Howard
IN,6,Miami
IN,6,Pulaski
IN,7,Carroll
IN,7,Clinton
IN,7,Fountain
IN,7,Montgomery
IN,7,Putnam
IN,7,Tippecanoe
IN,7,Tipton
IN,8,Blackford
IN,8,Deleware
IN,8,Grant
IN,8,Jay
IN,8,Randolph
IN,9,Clay
IN,9,Parke
IN,9,Sullivan
IN,9,Vermillion
IN,9,Vigo
IN,10,Boone
IN,10,Hamilton
IN,10,Marlon
IN,10,Morgan
IN,10,Shelby
IN,10,Hendricks
IN,11,Fayette
IN,11,Hancock
IN,11,Henry
IN,11,Madison
IN,11,Union
IN,11,Wayne
IN,12,Bartholomew
IN,12,Decatur
IN,12,Jackson
IN,12,Jennings
IN,12,Rush
IN,13,Brown
IN,13,Johnson
IN,13,Lawrence
IN,13,Monroe
IN,13,Owen
IN,14,Dearborn
IN,14,Franklin
IN,14,Ohio
IN,14,Ripley
IN,14,Switzerland
IN,15,Davless
IN,15,Dubols
IN,15,Greene
IN,15,Knox
IN,15,Martin
IN,15,Orange
IN,15,Perry
IN,15,Pike
IN,15,Spencer
IN,16,Clark
IN,16,Crawford
IN,16,Floyd
IN,16,Harrison
IN,16,Jefferson
IN,16,Scott
IN,16,Washington
IN,17,Gibson
IN,17,Posey
IN,17,Warrick
IN,17,Vanderburgh
KS,1,Leavenworth
KS,1,Wyandotte
KS,1,Johnson
KS,1,Miami
KS,2,Marshall
KS,2,Nemaha
KS,2,Brown
KS,2,Doniphan
KS,2,Pottawatomie
KS,2,Jackson
KS,2,Atchison
KS,2,Wabaunsee
KS,2,Shawnee
KS,2,Jefferson
KS,2,Lyon
KS,2,Osage
KS,2,Douglas
KS,2,Franklin
KS,2,Coffey
KS,2,Anderson
KS,2,Linn
KS,3,Jewell
KS,3,Republic
KS,3,Washington
KS,3,Mitchell
KS,3,Cloud
KS,3,Clay
KS,3,Riley
KS,3,Lincoln
KS,3,Ottawa
KS,3,Ellsworth
KS,3,Saline
KS,3,Dickinson
KS,3,Geary
KS,3,Morris
KS,4,Cheyenne
KS,4,Rawlins
KS,4,Decatur
KS,4,Norton
KS,4,Phillips
KS,4,Smith
KS,4,Sherman
KS,4,Thomas
KS,4,Sheridan
KS,4,Graham
KS,4,Rooks
KS,4,Osborne
KS,4,Wallace
KS,4,Logan
KS,4,Gove
KS,4,Trego
KS,4,Ellis
KS,4,Russell
KS,4,Greeley
KS,4,Wichita
KS,4,Scott
KS,4,Lane
KS,4,Ness
KS,4,Rush
KS,4,Barton
KS,5,Hamilton
KS,5,Kearny
KS,5,Finney
KS,5,Hodgeman
KS,5,Pawnee
KS,5,Stafford
KS,5,Stanton
KS,5,Grant
KS,5,Haskell
KS,5,Gray
KS,5,Ford
KS,5,Edwards
KS,5,Kiowa
KS,5,Pratt
KS,5,Morton
KS,5,Stevens
KS,5,Seward
KS,5,Meade
KS,5,Clark
KS,5,Comanche
KS,5,Barber
KS,6,Rice
KS,6,Reno
KS,6,Kingman
KS,6,Harper
KS,6,McPherson
KS,6,Harvey
KS,6,Sedgwick
KS,6,Sumner
KS,6,Marion
KS,6,Butler
KS,6,Cowley
KS,6,Chase
KS,6,Greenwood
KS,6,Elk
KS,6,Chautaugua
KS,6,Wilson
KS,6,Montgomery
KS,7,Woodson
KS,7,Allen
KS,7,Neosho
KS,7,Labette
KS,7,Bourbon
KS,7,Crawford
KS,7,Cherokee
KY,1,Ballard
KY,1,Caldwell
KY,1,Calloway
KY,1,Carlisle
KY,1,Crittenden
KY,1,Fulton
KY,1,Graves
KY,1,Hickman
KY,1,Livingston
KY,1,Lyon
KY,1,Marshall
KY,1,McCracken
KY,2,Christian
KY,2,Daviess
KY,2,Hancock
KY,2,Henderson
KY,2,Hopkins
KY,2,McLean
KY,2,Muhlenberg
KY,2,Ohio
KY,2,Trigg
KY,2,Todd
KY,2,Union
KY,2,Webster
KY,3,Breckinridge
KY,3,Bullitt
KY,3,Carroll
KY,3,Grayson
KY,3,Hardin
KY,3,Henry
KY,3,Jefferson
KY,3,Larue
KY,3,Marion
KY,3,Meade
KY,3,Nelson
KY,3,Oldham
KY,3,Shelby
KY,3,Spencer
KY,3,Trimble
KY,3,Washington
KY,4,Adair
KY,4,Allen
KY,4,Barren
KY,4,Butler
KY,4,Casey
KY,4,Clinton
KY,4,Cumberland
KY,4,Edmonson
KY,4,Green
KY,4,Hart
KY,4,Logan
KY,4,McCreary
KY,4,Metcalfe
KY,4,Monroe
KY,4,Pulaski
KY,4,Russell
KY,4,Simpson
KY,4,Taylor
KY,4,Warren
KY,4,Wayne
KY,5,Anderson
KY,5,Bourbon
KY,5,Boyle
KY,5,Clark
KY,5,Estill
KY,5,Fayette
KY,5,Franklin
KY,5,Garrard
KY,5,Harrison
KY,5,Jackson
KY,5,Jessamine
KY,5,Lincoln
KY,5,Madison
KY,5,Mercer
KY,5,Montgomery
KY,5,Nicholas
KY,5,Owen
KY,5,Powell
KY,5,Rockcastle
KY,5,Scott
KY,5,Woodford
KY,6,Boone
KY,6,Campbell
KY,6,Gallatin
KY,6,Grant
KY,6,Kenton
KY,6,Pendleton
KY,7,Bath
KY,7,Boyd
KY,7,Bracken
KY,7,Carter
KY,7,Elliott
KY,7,Fleming
KY,7,Greenup
KY,7,Lawrence
KY,7,Lewis
KY,7,Mason
KY,7,Menifee
KY,7,Morgan
KY,7,Robertson
KY,7,Rowan
KY,8,Bell
KY,8,Breathitt
KY,8,Clay
KY,8,Floyd
KY,8,Harlan
KY,8,Johnson
KY,8,Knott
KY,8,Knox
KY,8,Laurel
KY,8,Lee
KY,8,Leslie
KY,8,Letcher
KY,8,Magoffin
KY,8,Martin
KY,8,Owsley
KY,8,Perry
KY,8,Pike
KY,8,Whitley
KY,8,Wolfe
LA,1,Orleans Parish
LA,1,St. Bernard Parish
LA,1,Plaquemines Parish
LA,1,Jefferson Parish
LA,1,St. Charles Parish
LA,1,St. John the Baptist Parish
LA,1,St. James Parish
LA,1,St. Tammany Parish
LA,2,Lafourche Parish
LA,2,Terrebonne Parish
LA,2,Assumption Parish
LA,3,Lafayette Parish
LA,3,St. Martin Parish
LA,3,St. Mary Parish
LA,3,Iberia Parish
LA,3,Vermillion Parish
LA,3,Acadia Parish
LA,3,St. Landry Parish
LA,3,Evangeline Parish
LA,4,Cameron Parish
LA,4,Jefferson Davis Parish
LA,4,Calcasieu Parish
LA,4,Allen Parish
LA,4,Beauregard Parish
LA,5,East Baton Rouge Parish
LA,5,West Baton Rouge Parish
LA,5,Iberville Parish
LA,5,Pointe Coupee Parish
LA,5,West Feliciana Parish
LA,5,East Feliciana Parish
LA,5,Ascension Parish
LA,5,Livingston Parish
LA,5,St. Helena Parish
LA,5,Tangipahoa Parish
LA,5,Washington Parish
LA,6,Rapides Parish
LA,6,Vernon Parish
LA,6,Avoyelles Parish
LA,6,Concordia Parish
LA,6,Catahoula Parish
LA,6,La Salle Parish
LA,6,Grant Parish
LA,6,Winn Parish
LA,7,Ouachita Parish
LA,7,East Carroll Parish
LA,7,West Carroll Parish
LA,7,Madison Parish
LA,7,Tensas Parish
LA,7,Franklin Parish
LA,7,Richland Parish
LA,7,Morehouse Parish
LA,7,Caldwell Parish
LA,7,Jackson Parish
LA,7,Lincoln Parish
LA,7,Union Parish
LA,8,Bossier Parish
LA,8,Caddo Parish
LA,8,Webster Parish
LA,8,Claiborne Parish
LA,8,Bienville Parish
LA,8,Red River Parish
LA,8,De Soto Parish
LA,8,Natchitoches Parish
LA,8,Sabine Parish
MA,1,010
MA,1,011
MA,1,012
MA,1,013
MA,2,014
MA,2,015
MA,2,016
MA,3,017
MA,3,020
MA,4,018
MA,4,019
MA,5,021
MA,5,022
MA,5,024
MA,6,023
MA,6,027
MA,7,025
MA,7,026
MD,1,Baltimore City
MD,1,Baltimore County
MD,1,Harford County
MD,1,Howard County
MD,1,Anne Arundel County
MD,2,St. Mary's County
MD,2,Charles County
MD,2,Calvert County
MD,2,Cecil County
MD,2,Kent County
MD,2,Queen Anne's County
MD,2,Talbot County
MD,2,Caroline County
MD,2,Dorchester County
MD,2,Wicomico County
MD,2,Somerset County
MD,2,Worcester County
MD,3,Montgomery County
MD,3,Prince George's
MD,4,Garrett County
MD,4,Allegany County
MD,4,Washington County
MD,4,Carroll County
MD,4,Frederick County
ME,1,Cumberland
ME,1,Sagadahoc
ME,1,York
ME,2,Knox
ME,2,Kennebec
ME,2,Lincoln
ME,2,Oxford
ME,3,Androscoggin
ME,3,Waldo
ME,3,Franklin
ME,3,Penobscot
ME,3,Somerset
ME,3,Piscataquis
ME,4,Hancock
ME,4,Aroostook
ME,4,Washington
MI,1,Monroe
MI,1,Wayne
MI,2,Macomb
MI,2,Oakland
MI,3,St. Clair
MI,4,Lenawee
MI,4,Washtenaw
MI,4,Livingston
MI,5,Lapeer
MI,5,Genesee
MI,5,Shiawassee
MI,6,Huron
MI,6,Sanilac
MI,6,Tuscola
MI,7,Clinton
MI,7,Eaton
MI,7,Hillsdale
MI,7,Ingham
MI,7,Jackson
MI,8,Arenac
MI,8,Gratiot
MI,8,Saginaw
MI,8,Bay
MI,9,Berrien
MI,9,St. Joseph
MI,9,Cass
MI,9,Van Buren
MI,10,Branch
MI,10,Calhoun
MI,10,Kalamazoo
MI,11,Allegan
MI,11,Barry
MI,12,Ionia
MI,12,Kent
MI,12,Lake
MI,12,Mason
MI,12,Mecosta
MI,12,Montcalm
MI,12,Muskegon
MI,12,Newaygo
MI,12,Oceana
MI,12,Osceola
MI,12,Ottawa
MI,13,Gladwin
MI,13,Clare
MI,13,Isabella
MI,13,Midland
MI,14,Antrim
MI,14,Benzie
MI,14,Charlevoix
MI,14,Emmet
MI,14,Grand Traverse
MI,14,Manistee
MI,14,Kalkaska
MI,14,Missaukee
MI,14,Wexford
MI,14,Leelanau
MI,15,Alcona
MI,15,Alpena
MI,15,Cheboygan
MI,15,Chippewa
MI,15,Crawford
MI,15,Iosco
MI,15,Mackinac
MI,15,Montmorency
MI,15,Ogemaw
MI,15,Oscoda
MI,15,Otsego
MI,15,Presque Isle
MI,15,Roscommon
MI,16,Alger
MI,16,Baraga
MI,16,Delta
MI,16,Dickinson
MI,16,Gogebic
MI,16,Houghton
MI,16,Iron
MI,16,Keweenaw
MI,16,Luce
MI,16,Marquette
MI,16,Menominee
MI,16,Ontonagon
MI,16,Schoolcraft
MN,1,Dodge
MN,1,Fillmore
MN,1,Freeborn
MN,1,Goodhue
MN,1,Houston
MN,1,Mower
MN,1,Olmsted
MN,1,Steele
MN,1,Wabasha
MN,1,Winona
MN,2,Carlton
MN,2,Cook
MN,2,Itasca
MN,2,Koochiching
MN,2,Lake
MN,2,Lake of the Woods
MN,2,St. Louis
MN,3,Blue Earth
MN,3,Faribault
MN,3,Waseca
MN,3,Le Sueur
MN,3,Martin
MN,3,Nicollet
MN,3,Rice
MN,3,Watonwan
MN,4,Brown
MN,4,Cottonwood
MN,4,Jackson
MN,4,Lincoln
MN,4,Murray
MN,4,Nobles
MN,4,Pipestone
MN,4,Redwood
MN,4,Rock
MN,5,Chippewa
MN,5,Big Stone
MN,5,Kandiyohi
MN,5,Lac Qui Parle
MN,5,Lyon
MN,5,McLeod
MN,5,Meeker
MN,5,Renville
MN,5,Sibley
MN,5,Swift
MN,5,Yellow Medicine
MN,6,Becker
MN,6,Clay
MN,6,Douglas
MN,6,Grant
MN,6,Otter Tail
MN,6,Pope
MN,6,Stevens
MN,6,Traverse
MN,6,Wilkin
MN,7,Aitkin
MN,7,Beltrami
MN,7,Cass
MN,7,Chisago
MN,7,Crow Wing
MN,7,Hubbard
MN,7,Isanti
MN,7,Kanabec
MN,7,Mille Lacs
MN,7,Morrison
MN,7,Pine
MN,7,Roseau
MN,7,Todd
MN,7,Wadena
MN,8,Anoka
MN,8,Benton
MN,8,Carver
MN,8,Dakota
MN,8,Hennepin
MN,8,Ramsey
MN,8,Scott
MN,8,Sherburne
MN,8,Stearns
MN,8,Washington
MN,8,Wright
MN,9,Clearwater
MN,9,Kittson
MN,9,Mahnomen
MN,9,Marshall
MN,9,Norman
MN,9,Pennington
MN,9,Polk
MN,9,Red Lake
MO,1,Atchison
MO,1,Nodaway
MO,1,Holt
MO,1,Andrew
MO,1,Buchanan
MO,1,Worth
MO,1,Gentry
MO,1,DeKalb
MO,1,Clinton
